GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minicp:minicp,minicp.engine.constraints,Profile,36,142,6,6,6,23,6,6,3,3
minicp:minicp,minicp.engine.constraints,TableCT,52,180,9,9,8,22,6,8,0,5
minicp:minicp,minicp.engine.constraints,ThetaTree.Node,0,26,0,0,0,12,0,6,0,6
minicp:minicp,minicp.engine.constraints,IsEqual,0,80,0,10,0,23,0,8,0,3
minicp:minicp,minicp.engine.constraints,CumulativeDecomposition,29,95,2,2,4,14,3,5,1,5
minicp:minicp,minicp.engine.constraints,Sum,0,272,1,11,0,40,1,10,0,5
minicp:minicp,minicp.engine.constraints,Equal,84,63,6,2,18,15,7,3,3,3
minicp:minicp,minicp.engine.constraints,Profile.Rectangle,34,39,3,3,2,11,5,5,2,5
minicp:minicp,minicp.engine.constraints,ThetaTree,0,223,0,8,0,44,0,16,0,12
minicp:minicp,minicp.engine.constraints,Tp2,182,0,16,0,32,0,11,0,3,0
minicp:minicp,minicp.engine.constraints,Maximum,9,31,1,5,1,7,2,5,1,3
minicp:minicp,minicp.engine.constraints,TableDecomp,0,126,0,22,0,22,0,14,0,3
minicp:minicp,minicp.engine.constraints,IsOr,0,76,0,4,0,15,0,5,0,3
minicp:minicp,minicp.engine.constraints,IsLessOrEqual,0,109,0,14,0,25,0,11,0,4
minicp:minicp,minicp.engine.constraints,IsLessOrEqualVar,0,99,0,8,0,25,0,7,0,3
minicp:minicp,minicp.engine.constraints,AllDifferentBinary,0,51,0,4,0,8,0,4,0,2
minicp:minicp,minicp.engine.constraints,AllDifferentFWC,5,15,0,0,1,4,1,2,1,2
minicp:minicp,minicp.engine.constraints,LessOrEqual,0,45,0,2,0,13,0,4,0,3
minicp:minicp,minicp.engine.constraints,AllDifferentDC,40,142,3,5,8,25,3,6,1,4
minicp:minicp,minicp.engine.constraints,Element1DVar,4,18,0,0,1,6,1,2,1,2
minicp:minicp,minicp.engine.constraints,NotEqual,10,74,1,5,1,18,1,6,0,4
minicp:minicp,minicp.engine.constraints,Or,3,36,0,0,2,7,1,2,1,2
minicp:minicp,minicp.engine.constraints,Cumulative,69,96,7,5,12,17,5,8,1,6
minicp:minicp,minicp.engine.constraints,Element2D.Triple,0,18,0,0,0,6,0,2,0,2
minicp:minicp,minicp.engine.constraints,Element1DDomainConsistent,0,19,0,0,0,6,0,2,0,2
